"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"1"	NA	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA	NA	NA
"10"	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA
"18"	"ZG661mT.fastq"	"1m T"	"TIMEPOINT"	1	"T"	""	NA
"19"	"ZG661mB.fastq"	"1m B"	"TIMEPOINT"	1	"B"	""	NA
"20"	NA	NA	NA	NA	NA	NA	NA
"21"	"ZG661mMono.fastq"	"1m Mono"	"TIMEPOINT"	1	"Mono"	""	NA
"22"	"ZG661mGr.fastq"	"1m Gr"	"TIMEPOINT"	1	"Gr"	""	NA
"23"	"ZG662mT.fastq"	"2m T"	"TIMEPOINT"	2	"T"	""	NA
"24"	"ZG662mB.fastq"	"2m B"	"TIMEPOINT"	2	"B"	""	NA
"25"	NA	NA	NA	NA	NA	NA	NA
"26"	"ZG662mMono.fastq"	"2m Mono"	"TIMEPOINT"	2	"Mono"	""	NA
"27"	"ZG662mGr.fastq"	"2m Gr"	"TIMEPOINT"	2	"Gr"	""	NA
"28"	"ZG663mT.fastq"	"3m T"	"TIMEPOINT"	3	"T"	""	NA
"29"	"ZG663mB.fastq"	"3m B"	"TIMEPOINT"	3	"B"	""	NA
"30"	NA	NA	NA	NA	NA	NA	NA
"31"	"ZG663mMono.fastq"	"3m Mono"	"TIMEPOINT"	3	"Mono"	""	NA
"32"	"ZG663mGr.fastq"	"3m Gr"	"TIMEPOINT"	3	"Gr"	""	NA
"33"	"ZG664hmT.fastq"	"4.5m T"	"TIMEPOINT"	4.5	"T"	""	NA
"34"	"ZG664hmB.fastq"	"4.5m B"	"TIMEPOINT"	4.5	"B"	""	NA
"35"	NA	NA	NA	NA	NA	NA	NA
"36"	"ZG664hmMono.fastq"	"4.5m Mono"	"TIMEPOINT"	4.5	"Mono"	""	NA
"37"	"ZG664hmGr.fastq"	"4.5m Gr"	"TIMEPOINT"	4.5	"Gr"	""	NA
"38"	"ZG666hmT.fastq"	"6.5m T"	"TIMEPOINT"	6.5	"T"	""	NA
"39"	"ZG666hmB.fastq"	"6.5m B"	"TIMEPOINT"	6.5	"B"	""	NA
"40"	NA	NA	NA	NA	NA	NA	NA
"41"	"ZG666hmMono.fastq"	"6.5m Mono"	"TIMEPOINT"	6.5	"Mono"	""	NA
"42"	"ZG666hmCD33pGFPpGr.fastq"	"6.5m Gr"	"TIMEPOINT"	6.5	"Gr"	""	NA
"43"	NA	NA	NA	NA	NA	NA	NA
"44"	NA	NA	NA	NA	NA	NA	NA
"45"	NA	NA	NA	NA	NA	NA	NA
"46"	NA	NA	NA	NA	NA	NA	NA
"47"	NA	NA	NA	NA	NA	NA	NA
"48"	"zg6612mT.fastq"	"12m T"	"TIMEPOINT"	NA	"T"	""	NA
"49"	"zg6612mB.fastq"	"12m B"	"TIMEPOINT"	NA	"B"	""	NA
"50"	NA	NA	NA	NA	NA	NA	NA
"51"	"zg6612mMono.fastq"	"12m Mono"	"TIMEPOINT"	NA	"Mono"	""	NA
"52"	NA	NA	NA	NA	NA	NA	NA
"53"	"zg6614hmT2E6.fastq"	"14.5m T"	"TIMEPOINT"	NA	"T"	""	NA
