"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"1"	"zh331mT.fastq"	"1m T"	"Timepoint"	1	"T"	"PB"	""
"2"	"zh331mB.fastq"	"1m B"	"Timepoint"	1	"B"	"PB"	""
"3"	NA	NA	NA	NA	NA	NA	NA
"4"	"zh331mMono.fastq"	"1m Mono"	"Timepoint"	1	"Mono"	"PB"	""
"5"	"zh331mGr.fastq"	"1m Gr"	"Timepoint"	1	"Gr"	"PB"	""
"6"	"zh332mT.fastq"	"2m T"	"Timepoint"	2	"T"	"PB"	""
"7"	"zh332mB.fastq"	"2m B"	"Timepoint"	2	"B"	"PB"	""
"8"	NA	NA	NA	NA	NA	NA	NA
"9"	"zh332mMono.fastq"	"2m Mono"	"Timepoint"	2	"Mono"	"PB"	""
"10"	"zh332mGr.fastq"	"2m Gr"	"Timepoint"	2	"Gr"	"PB"	""
"11"	"zh333mT.fastq"	"3m T"	"Timepoint"	3	"T"	"PB"	""
"12"	"zh333mB.fastq"	"3m B"	"Timepoint"	3	"B"	"PB"	""
"13"	NA	NA	NA	NA	NA	NA	NA
"14"	"zh333mMono.fastq"	"3m Mono"	"Timepoint"	3	"Mono"	"PB"	""
"15"	"zh333mGr.fastq"	"3m Gr"	"Timepoint"	3	"Gr"	"PB"	""
"16"	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA
"20"	"zh334hmT.fastq"	"4.5m T"	"Timepoint"	4.5	"T"	"PB"	""
"21"	"zh334hmB.fastq"	"4.5m B"	"Timepoint"	4.5	"B"	"PB"	""
"22"	NA	NA	NA	NA	NA	NA	NA
"23"	"zh334hmMono.fastq"	"4.5m Mono"	"Timepoint"	4.5	"Mono"	"PB"	""
"24"	"zh334hmGr.fastq"	"4.5m Gr"	"Timepoint"	4.5	"Gr"	"PB"	""
"25"	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA	NA	NA
"28"	NA	NA	NA	NA	NA	NA	NA
"29"	NA	NA	NA	NA	NA	NA	NA
"30"	NA	NA	NA	NA	NA	NA	NA
"31"	NA	NA	NA	NA	NA	NA	NA
"32"	NA	NA	NA	NA	NA	NA	NA
"33"	NA	NA	NA	NA	NA	NA	NA
"34"	NA	NA	NA	NA	NA	NA	NA
"35"	NA	NA	NA	NA	NA	NA	NA
"36"	NA	NA	NA	NA	NA	NA	NA
"37"	NA	NA	NA	NA	NA	NA	NA
"38"	NA	NA	NA	NA	NA	NA	NA
"39"	NA	NA	NA	NA	NA	NA	NA
"40"	NA	NA	NA	NA	NA	NA	NA
"41"	"zh336hmT.fastq"	"6.5m T"	"Timepoint"	6.5	"T"	"PB"	""
"42"	"zh336hmB.fastq"	"6.5m B"	"Timepoint"	6.5	"B"	"PB"	""
"43"	NA	NA	NA	NA	NA	NA	NA
"44"	"zh336hmMono.fastq"	"6.5m Mono"	"Timepoint"	6.5	"Mono"	"PB"	""
"45"	"zh336hmGr.fastq"	"6.5m Gr"	"Timepoint"	6.5	"Gr"	"PB"	""
"46"	NA	NA	NA	NA	NA	NA	NA
"47"	NA	NA	NA	NA	NA	NA	NA
"48"	NA	NA	NA	NA	NA	NA	NA
"49"	NA	NA	NA	NA	NA	NA	NA
"50"	NA	NA	NA	NA	NA	NA	NA
"51"	NA	NA	NA	NA	NA	NA	NA
"52"	NA	NA	NA	NA	NA	NA	NA
"53"	NA	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	NA	NA
"55"	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA
"57"	NA	NA	NA	NA	NA	NA	NA
"58"	NA	NA	NA	NA	NA	NA	NA
"59"	NA	NA	NA	NA	NA	NA	NA
"60"	NA	NA	NA	NA	NA	NA	NA
"61"	"zh339hmPBT.fastq"	"9.5m T"	"Timepoint"	9.5	"T"	"PB"	""
"62"	"zh339hmPBB.fastq"	"9.5m B"	"Timepoint"	9.5	"B"	"PB"	""
"63"	NA	NA	NA	NA	NA	NA	NA
"64"	"zh339hmPBMono.fastq"	"9.5m Mono"	"Timepoint"	9.5	"Mono"	"PB"	""
"65"	"zh339hmPBGr.fastq"	"9.5m Gr"	"Timepoint"	9.5	"Gr"	"PB"	""
"66"	NA	NA	NA	NA	NA	NA	NA
"67"	NA	NA	NA	NA	NA	NA	NA
"68"	NA	NA	NA	NA	NA	NA	NA
"69"	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA
"71"	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA
"75"	"zh3312mT.fastq"	"12m T"	"Timepoint"	12	"T"	"PB"	""
"76"	"zh3312mB.fastq"	"12m B"	"Timepoint"	12	"B"	"PB"	""
"77"	NA	NA	NA	NA	NA	NA	NA
"78"	"zh3312mMono.fastq"	"12m Mono"	"Timepoint"	12	"Mono"	"PB"	""
"79"	"zh3312mGr.fastq"	"12m Gr"	"Timepoint"	12	"Gr"	"PB"	""
"80"	NA	NA	NA	NA	NA	NA	NA
"81"	NA	NA	NA	NA	NA	NA	NA
"82"	NA	NA	NA	NA	NA	NA	NA
"83"	NA	NA	NA	NA	NA	NA	NA
"84"	NA	NA	NA	NA	NA	NA	NA
"85"	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA
"90"	"zh3314mT.fastq"	"14m T"	"Timepoint"	12	"T"	"PB"	""
"91"	"zh3314mB.fastq"	"14m B"	"Timepoint"	14	"B"	"PB"	""
"92"	NA	NA	NA	NA	NA	NA	NA
"93"	"zh3314mMono.fastq"	"14m Mono"	"Timepoint"	14	"Mono"	"PB"	""
"94"	"zh3314mGFPpCD33pGr.fastq"	"14m Gr"	"Timepoint"	14	"Gr"	"PB"	""
"95"	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA
"102"	NA	NA	NA	NA	NA	NA	NA
"103"	NA	NA	NA	NA	NA	NA	NA
"104"	NA	NA	NA	NA	NA	NA	NA
